,precision,recall,f1-score,support
Normal,0.9891739842238428,0.9990064438355176,0.9940659010295494,665287.0
Generic,0.9981068076043228,0.980579063207167,0.9892653026121357,64518.0
Exploits,0.579182661936926,0.8802156413854221,0.698651817116061,13541.0
Fuzzers ,0.6447876447876448,0.25807005494505497,0.36860821581851627,5824.0
DoS,0.859504132231405,0.021307109198934644,0.041583366653338664,4881.0
Reconnaissance ,0.7640931372549019,0.6976223776223777,0.7293463956718819,3575.0
Fuzzers,1.0,0.0027137042062415195,0.005412719891745603,1474.0
Analysis,1.0,0.0037831021437578815,0.007537688442211055,793.0
Backdoor,1.0,0.009689922480620155,0.019193857965451054,516.0
Reconnaissance,0.0,0.0,0.0,543.0
Shellcode ,0.0,0.0,0.0,375.0
Backdoors,0.0,0.0,0.0,157.0
Shellcode,0.0,0.0,0.0,64.0
Worms,0.875,0.1346153846153846,0.23333333333333334,52.0
accuracy,0.9767988445378152,0.9767988445378152,0.9767988445378152,0.9767988445378152
macro avg,0.6221320262885032,0.2848287716886056,0.2919284713238732,761600.0
weighted avg,0.9766724996835376,0.9767988445378152,0.971137254823965,761600.0
